added_at,id,name,popularity,uri,artist,album,release_date,duration_ms,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,mode,key,genres,genre_group
2022-03-13T21:22:03Z,6zVrbtTbytdewrKURVGiOb,Gotta Have You,12,spotify:track:6zVrbtTbytdewrKURVGiOb,Project89,Bitter Sweet EP,2020-07-03,431500,431500.0,0.697,0.00408,0.748,0.776,0.123,-7.582,0.0507,126.982,4.0,0.419,1.0,2.0,,
2022-03-13T16:59:35Z,20sMQdnK4ZZODeoCNatpC3,Saint,31,spotify:track:20sMQdnK4ZZODeoCNatpC3,Arkady Antsyrev,Ne vspominaem,2018-07-06,399740,399740.0,0.811,0.000423,0.785,0.865,0.0479,-14.037,0.0616,125.005,4.0,0.295,0.0,2.0,russian electronic,electronic
2022-03-13T16:59:30Z,0uXt6ZeatxcYcxqjWDPXwv,DAEMON HEAVEN,1,spotify:track:0uXt6ZeatxcYcxqjWDPXwv,758-city,TECHNO 4 BABY,2021-06-04,70619,70619.0,0.794,0.0332,0.978,0.95,0.109,-6.699,0.0642,129.969,4.0,0.779,0.0,4.0,,
2022-03-13T16:59:24Z,12C9IzPGOGUtAKNTw0pCMH,Franklin,29,spotify:track:12C9IzPGOGUtAKNTw0pCMH,Various Artists,Barcelona Off 2018,2018-06-08,271935,271935.0,0.809,0.00248,0.855,0.836,0.486,-6.309,0.0431,123.979,4.0,0.521,1.0,11.0,"disco, funk, post-disco, quiet storm, soul",funk
2022-03-13T15:29:49Z,3tjjpL8aXBTtQxzotfqm7i,Spaceship,28,spotify:track:3tjjpL8aXBTtQxzotfqm7i,Chris Stussy,Get Together,2021-06-04,407040,407040.0,0.808,0.00767,0.749,0.901,0.0731,-9.362,0.0802,125.0,4.0,0.313,1.0,10.0,"dutch tech house, minimal tech house",house
2022-03-13T15:29:45Z,2Kn6UnSVz5hYxL7R8pKn7b,Keep On Lovin' Me,7,spotify:track:2Kn6UnSVz5hYxL7R8pKn7b,James Cole,Keep On Lovin' Me,2020-08-28,380189,380189.0,0.801,0.156,0.942,0.871,0.0677,-7.501,0.0881,127.07,4.0,0.616,0.0,0.0,,
2022-03-13T15:08:26Z,1ozC2QLp970v2ZvmTaswdZ,Bitter Sweet,29,spotify:track:1ozC2QLp970v2ZvmTaswdZ,Project89,Bitter Sweet EP,2020-07-03,450500,450500.0,0.8,0.0568,0.807,0.778,0.1,-7.347,0.0435,128.005,4.0,0.78,1.0,7.0,,
2022-03-13T14:31:44Z,3QgHpqgmDEbL0EQtF2Nihx,I Love Kecel - Original Mix,0,spotify:track:3QgHpqgmDEbL0EQtF2Nihx,James Cole,Alliwant Wax digital 010,2022-02-17,425196,425196.0,0.819,0.0491,0.625,0.907,0.104,-7.0,0.0451,127.01,4.0,0.352,1.0,8.0,,
2022-03-13T14:22:30Z,0Na98oQwdBUhY5pXIKVA60,Olympia - Original Mix,0,spotify:track:0Na98oQwdBUhY5pXIKVA60,James Cole,Alliwant Wax digital 010,2022-02-17,378750,378750.0,0.856,0.194,0.692,0.555,0.0911,-8.993,0.236,127.979,4.0,0.814,1.0,9.0,,
2022-03-12T13:06:10Z,4jlS72eGLijzfr7PymxDYi,Is It You,49,spotify:track:4jlS72eGLijzfr7PymxDYi,PAX,Is It You,2022-03-11,159010,159010.0,0.688,0.0381,0.672,0.55,0.315,-11.72,0.0704,126.978,4.0,0.155,1.0,1.0,"deep groove house, house",house
2022-03-11T22:32:57Z,4t5ivAsbttdO68uCfIlG66,On My Way - Longer Version,21,spotify:track:4t5ivAsbttdO68uCfIlG66,Kerri Chandler,Trionisphere (Live),2010-10-18,451033,451033.0,0.743,0.00357,0.868,0.0931,0.0427,-6.624,0.0538,124.01,4.0,0.764,0.0,11.0,"classic house, deep house, float house, garage house, soulful house, tech house, vocal house",soul
2022-03-11T22:32:53Z,3G1WlKUmaOKmCe8V3GlHPS,Mommy What's a Record,24,spotify:track:3G1WlKUmaOKmCe8V3GlHPS,Kerri Chandler,Mommy What's a Record,2018-03-01,464065,464065.0,0.796,0.000274,0.345,0.68,0.14,-14.737,0.0614,123.485,4.0,0.588,1.0,0.0,"classic house, deep house, float house, garage house, soulful house, tech house, vocal house",soul
2022-03-11T12:37:16Z,1VSuUz9qsJFcK2GDu1YDsz,Hanging On,12,spotify:track:1VSuUz9qsJFcK2GDu1YDsz,Kerri Chandler,25 Years Of Madhouse (Mixed & Compiled by Kerri Chandler),2018-09-07,303720,303720.0,0.614,0.00512,0.942,0.63,0.0444,-9.027,0.0505,123.265,4.0,0.648,0.0,1.0,"classic house, deep house, float house, garage house, soulful house, tech house, vocal house",soul
2022-03-11T12:37:14Z,4MB9VrtAAd22qOHEee0HSr,I Loved You - Kerri Chandler Remaster,49,spotify:track:4MB9VrtAAd22qOHEee0HSr,Kerri Chandler,25 Years Of Madhouse (Mixed & Compiled by Kerri Chandler),2018-09-07,294225,294225.0,0.845,9.28e-05,0.668,0.312,0.0555,-9.52,0.0416,123.988,4.0,0.915,1.0,1.0,"classic house, deep house, float house, garage house, soulful house, tech house, vocal house",soul
2022-03-11T12:01:20Z,303ccTay2FiDTZ9fZ2AdBt,Music Sounds Better With You,70,spotify:track:303ccTay2FiDTZ9fZ2AdBt,Stardust,Music Sounds Better With You,1998-07-20,403293,403293.0,0.735,0.00105,0.72,0.15,0.382,-7.04,0.336,124.174,4.0,0.364,1.0,1.0,,
2022-03-07T22:11:09Z,0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,65,spotify:track:0E8q2Fx2XuzXCO2NSAppkR,Duke Ellington,Duke Ellington & John Coltrane,1963-02,255226,255226.0,0.464,0.936,0.305,0.0846,0.208,-12.435,0.0316,108.229,4.0,0.282,0.0,3.0,"african-american classical, big band, harlem renaissance, jazz, jazz piano, swing",classical
2022-03-07T08:50:05Z,5XlzuIySfqhqMv5MqjHj6H,Tell me Somethin',45,spotify:track:5XlzuIySfqhqMv5MqjHj6H,Nas Elmes,Tell Me Somethin',2021-08-18,226771,226771.0,0.78,0.033,0.872,0.367,0.109,-7.988,0.0523,127.033,4.0,0.776,0.0,11.0,,
2022-03-07T08:35:26Z,3jotybhgTZeCqXFMqzfInI,On Da Groove,32,spotify:track:3jotybhgTZeCqXFMqzfInI,Stef Davidse,On Da Groove,2021-10-15,312000,312000.0,0.794,0.0603,0.91,0.923,0.0557,-8.883,0.0633,130.011,4.0,0.891,0.0,10.0,,
2022-03-07T08:18:07Z,1qJsUJTxZ1WoIY83fa8h4Y,When I'm Not Around,11,spotify:track:1qJsUJTxZ1WoIY83fa8h4Y,Project89,Notice Me,2021-11-26,393753,393753.0,0.804,0.000525,0.849,0.823,0.0944,-7.127,0.105,128.011,4.0,0.488,0.0,11.0,,
2022-03-06T19:09:50Z,6BzW1v05ZQEecQDkSRE0Bb,Descente d'acide,5,spotify:track:6BzW1v05ZQEecQDkSRE0Bb,COCCOLITE,Descente d'acide,2022-02-16,373000,373000.0,0.538,0.499,0.396,0.859,0.136,-15.533,0.0324,159.999,4.0,0.232,0.0,9.0,,
2022-03-06T19:09:38Z,0j6ge0kHxoSAEmPdBYUdFA,Stockholm Noir (Jazz Bossa),0,spotify:track:0j6ge0kHxoSAEmPdBYUdFA,Beyond the Seasons,Stockholm Noir (Jazz Bossa),2020-07-17,175500,175500.0,0.66,0.436,0.366,0.335,0.102,-18.635,0.0542,79.967,4.0,0.733,1.0,0.0,,
2022-03-06T18:09:43Z,7JN4rYLphO4zyPP04Ibftj,Downtown (feat. Annette Bowen & Nikki-O),31,spotify:track:7JN4rYLphO4zyPP04Ibftj,Honey Dijon,Downtown (feat. Annette Bowen & Nikki-O),2021-04-23,235067,235067.0,0.824,0.0168,0.632,0.0101,0.0873,-8.974,0.221,126.023,4.0,0.531,1.0,1.0,vocal house,house
2022-03-06T14:45:00Z,6dLmr1erJimkloRVwOEPjH,Catch The Beat (feat. Cakes Da Killa),25,spotify:track:6dLmr1erJimkloRVwOEPjH,Honey Dijon,The Best Of Both Worlds,2017-10-13,228592,228592.0,0.873,0.0012,0.663,0.0103,0.0858,-9.052,0.225,126.003,4.0,0.404,1.0,6.0,vocal house,house
